team_id,team,total_matches,wins,draws,losses,win_rate,goals_scored,goals_conceded,goal_diff,home_win_rate
8306,UD Las Palmas,38,12,8,18,0.3158,45,53,-8,0.4211
9882,Sampdoria,266,84,81,101,0.3158,318,358,-40,0.4211
9817,Watford,38,12,9,17,0.3158,40,50,-10,0.3158
9879,Fulham,228,71,62,95,0.3114,265,319,-54,0.4561
8305,Getafe CF,304,94,71,139,0.3092,345,457,-112,0.4079
10261,Newcastle United,266,82,65,119,0.3083,324,422,-98,0.3985
8358,SC Freiburg,204,62,54,88,0.3039,245,318,-73,0.3725
8581,Levante UD,228,69,56,103,0.3026,241,339,-98,0.4211
9874,FC Sochaux-Montbéliard,228,69,57,102,0.3026,246,321,-75,0.4386
9810,Eintracht Frankfurt,238,72,63,103,0.3025,296,380,-84,0.3866
7841,Rio Ave FC,248,75,69,104,0.3024,248,306,-58,0.3468
9986,Sporting Charleroi,182,55,42,85,0.3022,201,266,-65,0.3846
8654,West Ham United,266,80,74,112,0.3008,326,383,-57,0.4135
8524,Atalanta,263,79,69,115,0.3004,283,352,-69,0.4167
9804,Torino,190,57,59,74,0.3,241,264,-23,0.3789
8530,Catania,224,67,63,94,0.2991,251,308,-57,0.5044
9803,Roda JC Kerkrade,238,71,59,108,0.2983,343,431,-88,0.3697
9761,NAC Breda,238,71,58,109,0.2983,294,395,-101,0.4034
10001,KVC Westerlo,182,54,46,82,0.2967,217,293,-76,0.3846
9830,FC Nantes,152,45,44,63,0.2961,135,181,-46,0.3684
4087,Évian Thonon Gaillard FC,152,45,36,71,0.2961,180,221,-41,0.3816
8603,Real Betis Balompié,190,56,47,87,0.2947,225,300,-75,0.3263
7819,SM Caen,190,56,53,81,0.2947,220,266,-46,0.3579
8481,AS Nancy-Lorraine,190,56,53,81,0.2947,203,254,-51,0.3158
8429,Hamilton Academical FC,190,56,44,90,0.2947,185,274,-89,0.2737
8722,1. FC Köln,204,60,54,90,0.2941,226,311,-85,0.3137
8234,FC Ingolstadt 04,34,10,10,14,0.2941,33,42,-9,0.4118
8371,CA Osasuna,228,67,64,97,0.2939,232,312,-80,0.4211
2186,Cracovia,210,61,53,96,0.2905,235,293,-58,0.4
10217,ADO Den Haag,272,79,74,119,0.2904,366,468,-102,0.3676
8678,Bournemouth,38,11,9,18,0.2895,45,67,-22,0.2632
9837,Stade de Reims,152,44,42,66,0.2895,168,217,-49,0.3947
8165,1. FC Nürnberg,170,49,43,78,0.2882,193,269,-76,0.3529
8529,Cagliari,264,76,74,114,0.2879,309,378,-69,0.3939
8533,Chievo Verona,303,87,87,129,0.2871,285,367,-82,0.3026
7955,Neuchâtel Xamax,126,36,31,59,0.2857,171,203,-32,0.3492
8464,N.E.C.,238,68,72,98,0.2857,310,390,-80,0.3697
9777,Servette FC,70,20,14,36,0.2857,77,115,-38,0.3143
158085,FC Arouca,98,28,29,41,0.2857,101,130,-29,0.3673
9873,Valenciennes FC,228,65,69,94,0.2851,256,301,-45,0.4298
10251,Hibernian,228,65,62,101,0.2851,259,332,-73,0.287
9869,Real Sporting de Gijón,190,54,44,92,0.2842,200,303,-103,0.4
6421,Leixões SC,60,17,15,28,0.2833,55,82,-27,0.3
8597,Kilmarnock,304,86,76,142,0.2829,346,457,-111,0.3158
8559,Bolton Wanderers,152,43,33,76,0.2829,181,253,-72,0.3553
10252,Aston Villa,304,86,88,130,0.2829,335,462,-127,0.2961
8394,Real Zaragoza,152,43,34,75,0.2829,159,240,-81,0.3816
8659,West Bromwich Albion,266,75,73,118,0.282,305,405,-100,0.3534
9876,Hellas Verona,114,32,32,50,0.2807,145,196,-51,0.3684
8426,Partick Thistle F.C.,114,32,34,48,0.2807,135,159,-24,0.2807
8033,Podbeskidzie Bielsko-Biała,150,42,49,59,0.28,169,215,-46,0.2533
8031,Polonia Bytom,90,25,24,41,0.2778,88,122,-34,0.4
8655,Blackburn Rovers,152,42,39,71,0.2763,175,252,-77,0.3816
8658,Birmingham City,76,21,26,29,0.2763,75,105,-30,0.3684
8024,Widzew Łódź,120,33,38,49,0.275,122,152,-30,0.3833
7878,Granada CF,190,52,43,95,0.2737,179,299,-120,0.3263
9783,RC Deportivo de La Coruña,228,62,74,92,0.2719,241,334,-93,0.3684
177361,Termalica Bruk-Bet Nieciecza,30,8,9,13,0.2667,33,43,-10,0.3333
8019,Górnik Łęczna,60,16,17,27,0.2667,61,80,-19,0.4
10213,Amadora,30,8,10,12,0.2667,26,38,-12,0.4667
9998,RAEC Mons,94,25,24,45,0.266,129,165,-36,0.3404
8262,SV Darmstadt 98,34,9,11,14,0.2647,38,53,-15,0.1176
7947,FCV Dender EH,34,9,8,17,0.2647,44,58,-14,0.2941
8372,SD Eibar,76,20,18,38,0.2632,83,116,-33,0.3421
10268,Elche CF,76,20,21,35,0.2632,65,112,-47,0.3158
8388,CD Numancia,38,10,5,23,0.2632,38,69,-31,0.4737
8483,Blackpool,38,10,9,19,0.2632,55,78,-23,0.2632
8534,Empoli,76,20,28,28,0.2632,86,101,-15,0.3421
9993,Beerschot AC,152,40,42,70,0.2632,174,237,-63,0.3947
8528,Wigan Athletic,190,50,52,88,0.2632,200,320,-120,0.2947
9997,Sint-Truidense VV,118,31,27,60,0.2627,115,194,-79,0.3051
9857,Bologna,263,68,79,116,0.2586,263,365,-102,0.313
8472,Sunderland,304,78,92,134,0.2566,333,441,-108,0.3224
9850,Norwich City,152,39,41,72,0.2566,160,253,-93,0.3553
9771,"União de Leiria, SAD",90,23,20,47,0.2556,85,135,-50,0.3333
8348,Moreirense FC,98,25,28,45,0.2551,101,147,-46,0.2449
8284,Dundee FC,114,29,36,49,0.2544,127,180,-53,0.2759
9865,UD Almería,190,48,46,96,0.2526,202,321,-119,0.3263
8350,1. FC Kaiserslautern,68,17,18,33,0.25,72,105,-33,0.2353
8244,Widzew Łódź,60,15,14,31,0.25,50,96,-46,0.2333
8613,Boavista FC,68,17,16,35,0.25,51,91,-40,0.3529
6433,Go Ahead Eagles,68,17,14,37,0.25,74,128,-54,0.3235
8475,Waasland-Beveren,96,24,21,51,0.25,105,166,-61,0.2917
7896,Lugano,36,9,8,19,0.25,46,75,-29,0.3333
8242,Odra Wodzisław,60,15,14,31,0.25,50,85,-35,0.3333
10219,RKC Waalwijk,136,34,27,75,0.25,153,241,-88,0.3676
8551,Siena,150,37,38,75,0.2467,149,213,-64,0.3467
9809,Naval 1° de Maio,90,22,22,46,0.2444,71,125,-54,0.2889
1773,Oud-Heverlee Leuven,90,22,28,40,0.2444,126,162,-36,0.3556
8696,Racing Santander,152,37,47,68,0.2434,160,226,-66,0.2632
10281,Real Valladolid,152,37,47,68,0.2434,170,238,-68,0.3289
