player,total_runs,balls_faced,fours,sixes,innings,strike_rate,avg_runs_per_innings
LH Ferguson,68,48,6,2,7,141.67,9.71
JJ Bumrah,68,80,5,1,26,85.0,2.62
RR Powar,67,64,6,1,9,104.69,7.44
R Sharma,66,77,5,3,19,85.71,3.47
HR Shokeen,66,67,9,0,5,98.51,13.2
M Jansen,66,71,5,2,12,92.96,5.5
GD Phillips,65,55,3,6,8,118.18,8.12
KA Jamieson,65,55,5,3,7,118.18,9.29
WD Parnell,65,86,4,1,13,75.58,5.0
Mohammad Hafeez,64,84,7,2,8,76.19,8.0
SP Jackson,61,57,5,1,8,107.02,7.62
S Aravind,59,59,7,0,10,100.0,5.9
I Sharma,57,71,4,2,21,80.28,2.71
WA Mota,56,76,2,0,8,73.68,7.0
Vishnu Vinod,56,58,3,3,6,96.55,9.33
M Rawat,55,70,4,1,11,78.57,5.0
Sandeep Sharma,54,73,4,0,25,73.97,2.16
DJ Willey,53,64,7,0,5,82.81,10.6
A Chopra,53,75,7,0,6,70.67,8.83
Shoaib Malik,52,49,5,0,5,106.12,10.4
RP Singh,52,78,2,1,28,66.67,1.86
OF Smith,51,50,1,5,6,102.0,8.5
Swapnil Singh,51,46,3,3,9,110.87,5.67
KB Arun Karthik,51,53,4,1,8,96.23,6.38
R Rampaul,51,52,3,2,7,98.08,7.29
Sameer Rizvi,51,43,4,2,5,118.6,10.2
Shivam Mavi,51,58,4,2,11,87.93,4.64
VR Aaron,50,73,2,2,12,68.49,4.17
RV Gomez,50,53,5,1,9,94.34,5.56
A Nortje,49,51,6,0,13,96.08,3.77
AS Yadav,49,40,5,2,6,122.5,8.17
SB Bangar,49,58,1,3,7,84.48,7.0
AG Paunikar,49,61,9,0,5,80.33,9.8
M Markande,48,44,5,1,10,109.09,4.8
D Pretorius,44,28,3,3,5,157.14,8.8
DR Sams,44,48,1,3,13,91.67,3.38
Sunny Singh,43,31,6,1,5,138.71,8.6
PVD Chameera,43,32,3,3,7,134.38,6.14
SK Trivedi,42,61,3,1,14,68.85,3.0
A Nehra,41,63,3,1,17,65.08,2.41
Avesh Khan,41,25,3,3,9,164.0,4.56
Rasikh Salam,40,40,5,0,6,100.0,6.67
AUK Pathan,39,26,5,2,7,150.0,5.57
S Nadeem,39,88,2,0,20,44.32,1.95
MM Patel,39,41,5,0,12,95.12,3.25
YS Chahal,37,89,0,0,17,41.57,2.18
Anureet Singh,36,47,2,1,8,76.6,4.5
AN Ahmed,36,27,4,1,6,133.33,6.0
L Balaji,36,50,2,1,13,72.0,2.77
Joginder Sharma,36,30,1,2,5,120.0,7.2
Sohail Tanvir,36,31,3,1,5,116.13,7.2
M Ashwin,35,50,2,1,12,70.0,2.92
A Kumble,35,49,3,0,15,71.43,2.33
S Sreesanth,34,57,6,0,12,59.65,2.83
L Ronchi,34,37,6,1,5,91.89,6.8
